dataset,source_family,entity_unit,split_seed,base_model,model_seed,acquisition_strategy,adaptation_seed,budget,fit_domain,calibration_method,evaluation_split,schema_version,status,status_reason,actual_entities,positive_labels,negative_labels,n_eval,positive_eval,negative_eval,evaluation_prevalence,auroc,auprc,brier,log_loss,brier_skill_score,log_loss_skill_score,calibration_intercept,calibration_slope,abs_calibration_intercept,abs_calibration_slope_error,ece_15,fitted_calibrator_intercept,fitted_calibrator_slope,unique_input_scores,unique_output_scores,produced_exact_zero,produced_exact_one,single_class_calibration,stable_support_5_per_class,runtime_seconds,config_hash,data_hash,split_hash,sample_hash,commit,timestamp_utc
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,100,target,isotonic,target_final_test,stage2_v2,success,,100,37,63,50000,20062,29938,0.40123999999999999,0.87272404557162786,0.79224994012207817,0.14406330233893361,0.85350749901877321,0.40035203474058056,-0.26725056155860716,0.45326321235827199,0.21481046472834592,0.45326321235827199,0.78518953527165403,0.098431950605425242,,,100,5,True,True,False,,0.10574133507907391,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,b41532b06fd26f1bea0ea1b9e73ffb0cecbb46ceee212456d61519f3541a315d,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:53.594675+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,100,target,jeffreys_smoothed_intercept_matching,target_final_test,stage2_v2,success,,100,37,63,50000,20062,29938,0.40123999999999999,0.89790576495914298,0.84822473653604025,0.13380327365895803,0.41403943146757671,0.44305829803986307,0.38525238192060418,0.55110995134928453,0.97905549365918343,0.55110995134928453,0.020944506340816571,0.070246419524555376,-0.39023223372139193,1,100,100,False,False,False,,0.11007317900657654,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,b41532b06fd26f1bea0ea1b9e73ffb0cecbb46ceee212456d61519f3541a315d,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:53.700467+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,250,target,intercept_only_mle,target_final_test,stage2_v2,success,,250,101,149,50000,20062,29938,0.40123999999999999,0.89790576495914298,0.84822473653604025,0.12740817110068414,0.39621161416340372,0.46967722301544212,0.41172234441777089,0.1767652374179412,0.97903984888073203,0.1767652374179412,0.020960151119267967,0.022928673973987835,-0.0083429957992756602,,250,250,False,False,False,,0.10341146215796471,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,a5cfb0a7456b32e51054745aa61bc751df15b107f71f5cd74ab2a0d6d0a8d9ff,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:53.857565+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,250,target,sigmoid,target_final_test,stage2_v2,success,,250,101,149,50000,20062,29938,0.40123999999999999,0.89790576495914298,0.84822473653604025,0.12794825367087101,0.40086113566713638,0.46742918754057361,0.40481893848008688,0.16511072200536397,0.83062849910300862,0.16511072200536397,0.16937150089699138,0.028032795652167167,0.0045337893487331126,1.1785048412161223,250,250,False,False,False,True,0.10395603440701962,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,a5cfb0a7456b32e51054745aa61bc751df15b107f71f5cd74ab2a0d6d0a8d9ff,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:53.960945+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,250,target,isotonic,target_final_test,stage2_v2,success,,250,101,149,50000,20062,29938,0.40123999999999999,0.88609038848432176,0.81389324813006692,0.13393056882715101,0.61915431931312981,0.44252844562529958,0.080706777921651374,0.3731198594679489,0.28301724609103607,0.3731198594679489,0.71698275390896393,0.054243390057225435,,,250,11,True,True,False,,0.1087569035589695,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,a5cfb0a7456b32e51054745aa61bc751df15b107f71f5cd74ab2a0d6d0a8d9ff,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:54.064940+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,250,target,jeffreys_smoothed_intercept_matching,target_final_test,stage2_v2,success,,250,101,149,50000,20062,29938,0.40123999999999999,0.89790576495914298,0.84822473653604025,0.12738371103937635,0.39614088136793463,0.46977903538372201,0.41182736537526909,0.17373577125470183,0.979039350824225,0.17373577125470183,0.020960649175775004,0.022539058527211324,-0.005231655981226665,1,250,250,False,False,False,,0.10240873694419861,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,a5cfb0a7456b32e51054745aa61bc751df15b107f71f5cd74ab2a0d6d0a8d9ff,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:54.173741+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,500,target,intercept_only_mle,target_final_test,stage2_v2,success,,500,202,298,50000,20062,29938,0.40123999999999999,0.89790576495914298,0.84822473653604025,0.12717895836565093,0.39554402714779863,0.47063129631476752,0.4127135483865555,0.14569320745638717,0.97903413168735054,0.14569320745638717,0.02096586831264946,0.018932529943836658,0.023551667150212188,,500,500,False,False,False,,0.10451170802116394,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,5c7d9bd514be1f0b55defb6a9af0234713a4aaaea851b0c72b6ab55c675bbe48,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:54.316855+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,500,target,sigmoid,target_final_test,stage2_v2,success,,500,202,298,50000,20062,29938,0.40123999999999999,0.89790576495914298,0.84822473653604025,0.12773013914994838,0.39698185642554418,0.46833706572010525,0.41057872243395022,0.15903391799036887,1.1333051562534071,0.15903391799036887,0.13330515625340711,0.02350887076329735,0.0090235980135371322,0.86390277897818424,500,500,False,False,False,True,0.10983391851186752,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,5c7d9bd514be1f0b55defb6a9af0234713a4aaaea851b0c72b6ab55c675bbe48,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:54.421412+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,500,target,isotonic,target_final_test,stage2_v2,success,,500,202,298,50000,20062,29938,0.40123999999999999,0.89317805080821033,0.82135797013319745,0.12897614506178537,0.40759010511016791,0.46315070043759621,0.39482805929601916,0.12730881106681396,0.93872531872802834,0.12730881106681396,0.061274681271971665,0.019393458004598536,,,500,15,True,True,False,,0.096907477825880051,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,5c7d9bd514be1f0b55defb6a9af0234713a4aaaea851b0c72b6ab55c675bbe48,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:54.531268+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,500,target,jeffreys_smoothed_intercept_matching,target_final_test,stage2_v2,success,,500,202,298,50000,20062,29938,0.40123999999999999,0.89790576495914298,0.84822473653604025,0.12716901147279913,0.3955147608708155,0.47067269918393961,0.41275700167312213,0.14417856261003156,0.97903382605766398,0.14417856261003156,0.020966173942336019,0.018737731697010863,0.025105480388661422,1,500,500,False,False,False,,0.10439964756369591,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,5c7d9bd514be1f0b55defb6a9af0234713a4aaaea851b0c72b6ab55c675bbe48,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:54.628215+00:00
