dataset,source_family,base_model,calibration_method,budget,median,budget_fraction_of_target_pool,observed_positive_count,observed_negative_count,task_label,method_label,model_label,source_file
acsfoodstamps_household,acs,xgboost_cpu,sigmoid,250,-0.0007482147756212,0.0283929585462805,66.5,183.5,ACS Food Stamps,Sigmoid,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsfoodstamps_household,acs,xgboost_cpu,isotonic,250,-0.0688536133403132,0.0283929585462805,66.5,183.5,ACS Food Stamps,Isotonic,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsfoodstamps_household,acs,xgboost_cpu,jeffreys_smoothed_intercept_matching,250,-0.0003779248921528,0.0283929585462805,66.5,183.5,ACS Food Stamps,Jeffreys intercept,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsfoodstamps_household,acs,xgboost_cpu,intercept_only_mle,500,-5.416119628176563e-05,0.056785917092561,133.5,366.5,ACS Food Stamps,Intercept MLE,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsfoodstamps_household,acs,xgboost_cpu,sigmoid,500,0.0002528590309625,0.056785917092561,133.5,366.5,ACS Food Stamps,Sigmoid,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsfoodstamps_household,acs,xgboost_cpu,isotonic,500,-0.032971924184683,0.056785917092561,133.5,366.5,ACS Food Stamps,Isotonic,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsfoodstamps_household,acs,xgboost_cpu,jeffreys_smoothed_intercept_matching,500,-4.8304190506526234e-05,0.056785917092561,133.5,366.5,ACS Food Stamps,Jeffreys intercept,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,logistic_regression,intercept_only_mle,25,0.0030628337047516,0.0002178972048146,4.0,21.0,BRFSS Diabetes,Intercept MLE,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,logistic_regression,sigmoid,25,-0.0203085908884033,0.0002178972048146,4.0,21.0,BRFSS Diabetes,Sigmoid,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,logistic_regression,isotonic,25,-0.328057703398707,0.0002178972048146,4.0,21.0,BRFSS Diabetes,Isotonic,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,logistic_regression,jeffreys_smoothed_intercept_matching,25,0.0035409943495405,0.0002178972048146,4.0,21.0,BRFSS Diabetes,Jeffreys intercept,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,logistic_regression,intercept_only_mle,50,0.0074492594858937,0.0004357944096293,8.0,42.0,BRFSS Diabetes,Intercept MLE,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,logistic_regression,sigmoid,50,-0.0021806404120185,0.0004357944096293,8.0,42.0,BRFSS Diabetes,Sigmoid,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,logistic_regression,isotonic,50,-0.2395527124895495,0.0004357944096293,8.0,42.0,BRFSS Diabetes,Isotonic,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,logistic_regression,jeffreys_smoothed_intercept_matching,50,0.0087263661385822,0.0004357944096293,8.0,42.0,BRFSS Diabetes,Jeffreys intercept,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,logistic_regression,intercept_only_mle,100,0.0107185365784303,0.0008715888192586,17.0,83.0,BRFSS Diabetes,Intercept MLE,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,logistic_regression,sigmoid,100,0.0063213081478585,0.0008715888192586,17.0,83.0,BRFSS Diabetes,Sigmoid,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,logistic_regression,isotonic,100,-0.1269091414401173,0.0008715888192586,17.0,83.0,BRFSS Diabetes,Isotonic,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,logistic_regression,jeffreys_smoothed_intercept_matching,100,0.0110560876962017,0.0008715888192586,17.0,83.0,BRFSS Diabetes,Jeffreys intercept,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,logistic_regression,intercept_only_mle,250,0.01229642963333,0.0021789720481465,43.0,207.0,BRFSS Diabetes,Intercept MLE,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,logistic_regression,sigmoid,250,0.0112180759067271,0.0021789720481465,43.0,207.0,BRFSS Diabetes,Sigmoid,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,logistic_regression,isotonic,250,-0.0398137291983282,0.0021789720481465,43.0,207.0,BRFSS Diabetes,Isotonic,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,logistic_regression,jeffreys_smoothed_intercept_matching,250,0.0122396662297835,0.0021789720481465,43.0,207.0,BRFSS Diabetes,Jeffreys intercept,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,logistic_regression,intercept_only_mle,500,0.0125342128814665,0.0043579440962931,86.0,414.0,BRFSS Diabetes,Intercept MLE,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,logistic_regression,sigmoid,500,0.012492168349243,0.0043579440962931,86.0,414.0,BRFSS Diabetes,Sigmoid,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,logistic_regression,isotonic,500,-0.0146045094606786,0.0043579440962931,86.0,414.0,BRFSS Diabetes,Isotonic,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,logistic_regression,jeffreys_smoothed_intercept_matching,500,0.0125286649946306,0.0043579440962931,86.0,414.0,BRFSS Diabetes,Jeffreys intercept,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,xgboost_cpu,intercept_only_mle,25,0.0024681693976982,0.0002178972048146,4.0,21.0,BRFSS Diabetes,Intercept MLE,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,xgboost_cpu,sigmoid,25,-0.0183337081350018,0.0002178972048146,4.0,21.0,BRFSS Diabetes,Sigmoid,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,xgboost_cpu,isotonic,25,-0.296007376335093,0.0002178972048146,4.0,21.0,BRFSS Diabetes,Isotonic,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,xgboost_cpu,jeffreys_smoothed_intercept_matching,25,0.0039786872781306,0.0002178972048146,4.0,21.0,BRFSS Diabetes,Jeffreys intercept,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,xgboost_cpu,intercept_only_mle,50,0.0070689398204728,0.0004357944096293,8.0,42.0,BRFSS Diabetes,Intercept MLE,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,xgboost_cpu,sigmoid,50,-0.0016344875649619,0.0004357944096293,8.0,42.0,BRFSS Diabetes,Sigmoid,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,xgboost_cpu,isotonic,50,-0.225959825475786,0.0004357944096293,8.0,42.0,BRFSS Diabetes,Isotonic,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,xgboost_cpu,jeffreys_smoothed_intercept_matching,50,0.0079513081307461,0.0004357944096293,8.0,42.0,BRFSS Diabetes,Jeffreys intercept,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,xgboost_cpu,intercept_only_mle,100,0.0105239266631899,0.0008715888192586,17.0,83.0,BRFSS Diabetes,Intercept MLE,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,xgboost_cpu,sigmoid,100,0.0066699426930733,0.0008715888192586,17.0,83.0,BRFSS Diabetes,Sigmoid,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,xgboost_cpu,isotonic,100,-0.133356622768267,0.0008715888192586,17.0,83.0,BRFSS Diabetes,Isotonic,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,xgboost_cpu,jeffreys_smoothed_intercept_matching,100,0.0105657133230376,0.0008715888192586,17.0,83.0,BRFSS Diabetes,Jeffreys intercept,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,xgboost_cpu,intercept_only_mle,250,0.0116801033623314,0.0021789720481465,43.0,207.0,BRFSS Diabetes,Intercept MLE,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,xgboost_cpu,sigmoid,250,0.0111218217335525,0.0021789720481465,43.0,207.0,BRFSS Diabetes,Sigmoid,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,xgboost_cpu,isotonic,250,-0.0412449640102104,0.0021789720481465,43.0,207.0,BRFSS Diabetes,Isotonic,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,xgboost_cpu,jeffreys_smoothed_intercept_matching,250,0.0117578949025267,0.0021789720481465,43.0,207.0,BRFSS Diabetes,Jeffreys intercept,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,xgboost_cpu,intercept_only_mle,500,0.0120914620719128,0.0043579440962931,86.0,414.0,BRFSS Diabetes,Intercept MLE,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,xgboost_cpu,sigmoid,500,0.0123816392396871,0.0043579440962931,86.0,414.0,BRFSS Diabetes,Sigmoid,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,xgboost_cpu,isotonic,500,-0.0156812150393024,0.0043579440962931,86.0,414.0,BRFSS Diabetes,Isotonic,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
brfss_diabetes,brfss,xgboost_cpu,jeffreys_smoothed_intercept_matching,500,0.0120665286827769,0.0043579440962931,86.0,414.0,BRFSS Diabetes,Jeffreys intercept,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
nhanes_lead,nhanes,logistic_regression,intercept_only_mle,25,0.0161812663328107,0.0049241678156391,2.0,23.0,NHANES Lead,Intercept MLE,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
nhanes_lead,nhanes,logistic_regression,sigmoid,25,-0.008982286759437,0.0049241678156391,2.0,23.0,NHANES Lead,Sigmoid,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
nhanes_lead,nhanes,logistic_regression,isotonic,25,-0.2605029592394576,0.0049241678156391,2.0,23.0,NHANES Lead,Isotonic,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
nhanes_lead,nhanes,logistic_regression,jeffreys_smoothed_intercept_matching,25,0.0150460491734609,0.0049241678156391,2.0,23.0,NHANES Lead,Jeffreys intercept,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
nhanes_lead,nhanes,logistic_regression,intercept_only_mle,50,0.0178610216356904,0.0098483356312783,4.0,46.0,NHANES Lead,Intercept MLE,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
nhanes_lead,nhanes,logistic_regression,sigmoid,50,0.0059445757959246,0.0098483356312783,4.0,46.0,NHANES Lead,Sigmoid,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
nhanes_lead,nhanes,logistic_regression,isotonic,50,-0.1674100291332427,0.0098483356312783,4.0,46.0,NHANES Lead,Isotonic,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
nhanes_lead,nhanes,logistic_regression,jeffreys_smoothed_intercept_matching,50,0.01749330320582,0.0098483356312783,4.0,46.0,NHANES Lead,Jeffreys intercept,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
nhanes_lead,nhanes,logistic_regression,intercept_only_mle,100,0.0197645304983283,0.0196966712625566,8.0,92.0,NHANES Lead,Intercept MLE,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
nhanes_lead,nhanes,logistic_regression,sigmoid,100,0.0158668382681683,0.0196966712625566,8.0,92.0,NHANES Lead,Sigmoid,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
