dataset,source_family,base_model,calibration_method,metric,effect_column,budget,absolute_budget,budget_fraction_of_target_pool,observed_positive_count,observed_negative_count,median,IQR,p05,p95,worst_observed_effect,availability_rate,algorithm_estimability_rate,estimable_rate,any_benefit_rate,any_harm_rate,material_benefit_rate,material_harm_rate,total_attempts,available_attempts,algorithm_estimable_attempts,finite_paired_effects,in_analysis_scope,analysis_scope,equal_task_effect,equal_family_effect,estimable_task_count_at_budget,source_family_count_at_budget,source_file
college_scorecard_2018,college_scorecard,logistic_regression,isotonic,log_loss,delta_log_loss,100,100,0.9615384615384616,68.0,32.0,0.3442336673128885,0.27443970446732396,0.2645195106290661,0.5563745424384788,-0.1495490220303508,1.0,1.0,1.0,0.9866666666666667,0.013333333333333334,0.9866666666666667,0.013333333333333334,300.0,300.0,300.0,300.0,True,college_stress,0.3442336673128885,0.3442336673128885,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,jeffreys_smoothed_intercept_matching,log_loss,delta_log_loss,100,100,0.9615384615384616,68.0,32.0,0.010411686253037233,0.09078395524826424,-0.07735772586452486,0.027470044607336347,-0.08120199893716284,1.0,1.0,1.0,0.6133333333333333,0.38666666666666666,0.5133333333333333,0.33666666666666667,300.0,300.0,300.0,300.0,True,college_stress,0.010411686253037233,0.010411686253037233,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,intercept_only_mle,log_loss,delta_log_loss,250,250,1.0,71.0,34.0,,,,,,0.0,,,,,,,300.0,0.0,0.0,0.0,False,college_stress,,,,,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,sigmoid,log_loss,delta_log_loss,250,250,1.0,71.0,34.0,,,,,,0.0,,,,,,,300.0,0.0,0.0,0.0,False,college_stress,,,,,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,isotonic,log_loss,delta_log_loss,250,250,1.0,71.0,34.0,,,,,,0.0,,,,,,,300.0,0.0,0.0,0.0,False,college_stress,,,,,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,jeffreys_smoothed_intercept_matching,log_loss,delta_log_loss,250,250,1.0,71.0,34.0,,,,,,0.0,,,,,,,300.0,0.0,0.0,0.0,False,college_stress,,,,,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,intercept_only_mle,log_loss,delta_log_loss,500,500,1.0,71.0,34.0,,,,,,0.0,,,,,,,300.0,0.0,0.0,0.0,False,college_stress,,,,,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,sigmoid,log_loss,delta_log_loss,500,500,1.0,71.0,34.0,,,,,,0.0,,,,,,,300.0,0.0,0.0,0.0,False,college_stress,,,,,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,isotonic,log_loss,delta_log_loss,500,500,1.0,71.0,34.0,,,,,,0.0,,,,,,,300.0,0.0,0.0,0.0,False,college_stress,,,,,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,jeffreys_smoothed_intercept_matching,log_loss,delta_log_loss,500,500,1.0,71.0,34.0,,,,,,0.0,,,,,,,300.0,0.0,0.0,0.0,False,college_stress,,,,,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,intercept_only_mle,log_loss,delta_log_loss,25,25,0.2403846153846154,17.0,8.0,-0.02589764183069254,0.06828697210941265,-0.16768231880586218,0.010818559073220432,-0.360113233397903,1.0,1.0,1.0,0.14,0.86,0.065,0.7166666666666667,600.0,600.0,600.0,600.0,True,college_stress,-0.02589764183069254,-0.02589764183069254,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
