dataset,source_family,split_seed,base_model,model_seed,delta_auroc,delta_brier,delta_log_loss,task_label,model_label,source_file
diabetes_readmission_patient_index,uci_diabetes,1,xgboost_cpu,1,-0.0156571011495958,0.0123637090993046,0.0272853590210553,Diabetes Readmission,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
diabetes_readmission_patient_index,uci_diabetes,2,logistic_regression,0,-0.0055211889871841,0.0167752881739582,0.0373285086858338,Diabetes Readmission,Logistic regression,results/stage2de/h4_probability_pairs.parquet
diabetes_readmission_patient_index,uci_diabetes,2,xgboost_cpu,0,-0.0109330188296961,0.0169575030800862,0.037190726388085,Diabetes Readmission,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
diabetes_readmission_patient_index,uci_diabetes,2,xgboost_cpu,1,-0.0107310357697731,0.0170300113370077,0.0372524206340387,Diabetes Readmission,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
nhanes_lead,nhanes,0,logistic_regression,0,-0.0355665364059276,0.0470910218786314,0.1675255093040884,NHANES Lead,Logistic regression,results/stage2de/h4_probability_pairs.parquet
nhanes_lead,nhanes,0,xgboost_cpu,0,-0.0605980094345253,0.0466130877856075,0.1678753943785939,NHANES Lead,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
nhanes_lead,nhanes,0,xgboost_cpu,1,-0.0620391876286542,0.0465569617607599,0.1679646892762279,NHANES Lead,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
nhanes_lead,nhanes,1,logistic_regression,0,-0.0310631722052434,0.0470972839278416,0.163460962659904,NHANES Lead,Logistic regression,results/stage2de/h4_probability_pairs.parquet
nhanes_lead,nhanes,1,xgboost_cpu,0,-0.029793322091974,0.0462011206897925,0.1668645500164368,NHANES Lead,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
nhanes_lead,nhanes,1,xgboost_cpu,1,-0.0273442961558065,0.0461588032163912,0.1662670003777741,NHANES Lead,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
nhanes_lead,nhanes,2,logistic_regression,0,-0.0499052823065979,0.0484414407856372,0.1668768816530504,NHANES Lead,Logistic regression,results/stage2de/h4_probability_pairs.parquet
nhanes_lead,nhanes,2,xgboost_cpu,0,-0.0152476109712951,0.0471151692740841,0.164746764457201,NHANES Lead,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
nhanes_lead,nhanes,2,xgboost_cpu,1,-0.0134319035634825,0.0470738952889524,0.1643784858738344,NHANES Lead,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
