base_model,calibration_method,budget,metric,effect_column,left_out_source_family,estimate,retained_unit_count,source_file
xgboost_cpu,jeffreys_smoothed_intercept_matching,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,nhanes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
xgboost_cpu,jeffreys_smoothed_intercept_matching,0,abs_calibration_slope_error,delta_abs_calibration_slope_error,uci_diabetes,0.0,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,intercept_only_mle,25,log_loss,delta_log_loss,acs,0.004962545103523119,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,intercept_only_mle,25,log_loss,delta_log_loss,brfss,0.0009484992264563082,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,intercept_only_mle,25,log_loss,delta_log_loss,nhanes,-0.0034243116495633976,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,intercept_only_mle,25,log_loss,delta_log_loss,uci_diabetes,0.0034215987037045,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,sigmoid,25,log_loss,delta_log_loss,acs,-0.01860991859463858,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,sigmoid,25,log_loss,delta_log_loss,brfss,-0.024524922798559206,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,sigmoid,25,log_loss,delta_log_loss,nhanes,-0.028300357508214618,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,sigmoid,25,log_loss,delta_log_loss,uci_diabetes,-0.02244816038266852,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,isotonic,25,log_loss,delta_log_loss,acs,-0.36252256560598145,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,isotonic,25,log_loss,delta_log_loss,brfss,-0.43845824362942915,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,isotonic,25,log_loss,delta_log_loss,nhanes,-0.46097649168251237,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,isotonic,25,log_loss,delta_log_loss,uci_diabetes,-0.38147513336907163,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,jeffreys_smoothed_intercept_matching,25,log_loss,delta_log_loss,acs,0.005275735123606064,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,jeffreys_smoothed_intercept_matching,25,log_loss,delta_log_loss,brfss,0.0013419099135720952,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,jeffreys_smoothed_intercept_matching,25,log_loss,delta_log_loss,nhanes,-0.0024931083610680443,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,jeffreys_smoothed_intercept_matching,25,log_loss,delta_log_loss,uci_diabetes,0.0034421874141466976,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,intercept_only_mle,50,log_loss,delta_log_loss,acs,0.008220607178807996,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,intercept_only_mle,50,log_loss,delta_log_loss,brfss,0.00458558292193216,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,intercept_only_mle,50,log_loss,delta_log_loss,nhanes,0.0011149955386665865,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,intercept_only_mle,50,log_loss,delta_log_loss,uci_diabetes,0.007284822612283494,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,sigmoid,50,log_loss,delta_log_loss,acs,-0.0018947173761903746,3,results/stage2de/h3_leave_one_family_out.parquet
logistic_regression,sigmoid,50,log_loss,delta_log_loss,brfss,-0.005964587980192809,3,results/stage2de/h3_leave_one_family_out.parquet
